Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,4287314,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,100,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,15996,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,1,Live animals; animal products,1,No Quantity,,,,,,,29945,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,100684721,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,2052361028,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,1989396,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,3526188,,,0
H3,2007,2007,2007,2,0,2,Export,643,Russian Federation,RUS,76,Brazil,BRA,,,,,,,,3,"Fish and crustaceans, molluscs and other acquatic invertebrates",1,No Quantity,,,,,,,1479551,,,0
H3,2007,2007,2007,2,0,1,Import,643,Russian Federation,RUS,56,Belgium,BEL,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,,,,,19188437,,,0
