Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,868740,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,6183,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,55444,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,56497,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,642,Romania,ROU,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,713,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0.0,,6733,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0.0,,6543,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0.0,,142131,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0.0,,3231348,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0.0,,42863265,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,699,India,IND,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0.0,,95775,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0.0,,23707293,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0.0,,25974920,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0.0,,14366467,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0.0,,244147,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0.0,,85335973,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,3064,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,20402,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,398189,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,35126073,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,32913,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,4015390,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,699,India,IND,,,,,,,,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,0,,,,0.0,,1695,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,5532,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,2081076,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,8277500,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,642,Romania,ROU,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,591373,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,,,383273,,,4
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,12048,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,699,India,IND,,,,,,,,5,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0.0,,216867,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0.0,,116825,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0.0,,36382830,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0.0,,18289642,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0.0,,1459,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0.0,,90973,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,1231204,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,62593,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,1262998,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,642,Romania,ROU,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,489805,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,20557780,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,1364846,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,29875741,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,699,India,IND,,,,,,,,7,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0.0,,28273671,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0.0,,100547,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0.0,,2519833,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0.0,,202409602,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0.0,,460968,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,699,India,IND,,,,,,,,8,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0.0,,43965677,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,579,Norway,NOR,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,691,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,6690555,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,616,Poland,POL,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,4415607,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,642,Romania,ROU,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,139971,,,0
H5,2020,2020,2020,2,0,1,Import,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,173354,,,0
H5,2020,2020,2020,2,0,2,Export,643,Russian Federation,RUS,688,Serbia,SRB,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0.0,,13235,,,0
