Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,1,Live animals,1,No Quantity,,,,,,,1262503,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,842,USA,USA,,,,,,,,1,Live animals,1,No Quantity,,,,,,,92998,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,1,Live animals,1,No Quantity,,,,,,,165960,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,1,Live animals,1,No Quantity,,,,,,,383564,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,487965044,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,842,USA,USA,,,,,,,,2,Meat and edible meat offal,1,No Quantity,,,,,,,206,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,4602427,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,842,USA,USA,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,4044961,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,112641,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,14066,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,842,USA,USA,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,1051689,,,0
H2,2002,2002,2002,2,0,2,Export,643,Russian Federation,RUS,842,USA,USA,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,464960,,,0
H2,2002,2002,2002,2,0,1,Import,643,Russian Federation,RUS,860,Uzbekistan,UZB,,,,,,,,4,Dairy produce; birds eggs; natural honey;,1,No Quantity,,,,,,,17387,,,0
