AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,Trade Value (US$),aggrLevel,Commodity Code,Commodity,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,Partner ISO,pt3ISO2,Partner Code,ptCode2,Partner,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,Trade Flow,Reporter ISO,Reporter Code,Reporter,Year
,,,,0,0,0,2496475,2,01,Animals; live,,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,1,Import,RUS,643,Russian Federation,2020
,,,,0,0,0,42702,2,01,Animals; live,,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,496686,2,01,Animals; live,,,0,,,2020,2020,H5,UZB,,860,,Uzbekistan,,,,1,No Quantity,1,Import,RUS,643,Russian Federation,2020
,,,,0,0,0,9628854,2,01,Animals; live,,,0,,,2020,2020,H5,UZB,,860,,Uzbekistan,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,6514,2,02,Meat and edible meat offal,,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,3296807,2,02,Meat and edible meat offal,,,0,,,2020,2020,H5,UZB,,860,,Uzbekistan,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,8290,2,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,1,Import,RUS,643,Russian Federation,2020
,,,,0,0,0,37718355,2,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,1573847,2,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,,0,,,2020,2020,H5,UZB,,860,,Uzbekistan,,,,1,No Quantity,2,Export,RUS,643,Russian Federation,2020
,,,,0,0,0,4439008,2,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,0,,,2020,2020,H5,USA,,842,,USA,,,,1,No Quantity,1,Import,RUS,643,Russian Federation,2020
